success,model,sample,local_steps,local_psnr,local_conf_c1,local_conf_c2,remote_steps,remote_psnr,s1_label,s2_label,s1_conf_c1,s1_conf_c2,s2_conf_c1,s2_conf_c2
False,imagenet,13,1999,None,0.19771888852119446,0.1977073848247528,None,None,None,None,None,None,None,None
True,cifar10,42,275,53.39773074927783,0.4998907148838043,0.49988237023353577,202,53.39771563474067,2,0,0.49988678097724915,0.49988630414009094,0.4998883306980133,0.4998847544193268
True,fmnist,42,187,50.88024433981361,0.4999879002571106,0.49997860193252563,78,50.880208543455126,6,0,0.49998337030410767,0.49998313188552856,0.4999857544898987,0.49998074769973755
