success,model_type,sample_index,total_psnr,local_steps,local_psnr,local_label,local_conf1,local_conf2,remote_steps,remote_psnr,s0_hostname,s0_label,s0_conf1,s0_conf2,s1_hostname,s1_label,s1_conf1,s1_conf2,s2_hostname,s2_label,s2_conf1,s2_conf2,s3_hostname,s3_label,s3_conf1,s3_conf2,s4_hostname,s4_label,s4_conf1,s4_conf2,s5_hostname,s5_label,s5_conf1,s5_conf2,s6_hostname,s6_label,s6_conf1,s6_conf2
True,fmnist,42,50.880244339813615,187,50.880244339813615,0,0.4999879002571106,0.4999786019325256,30,152.00783093658777,server-amdrome,6,0.49998408555984497,0.4999824166297913,server-intelbroadwell,0,0.4999833703041077,0.4999831318855286,server-intelcascadelake,0,0.4999836087226868,0.4999828934669495,server-intelhaswell,0,0.4999833703041077,0.4999831318855286,server-intelivybridge,0,0.4999855160713196,0.4999809861183167,server-intelsandybridge,0,0.4999855160713196,0.4999809861183167,server-intelskylake,0,0.4999836087226868,0.4999828934669495
True,fmnist,13,44.38392276460248,187,44.38392276460248,3,0.4935564696788788,0.4935469925403595,27,158.14939029538206,server-amdrome,4,0.4935517013072968,0.4935516715049744,server-intelbroadwell,3,0.4935533702373505,0.4935500919818878,server-intelcascadelake,3,0.4935519993305206,0.4935513734817505,server-intelhaswell,3,0.4935533702373505,0.4935500919818878,server-intelivybridge,3,0.4935537278652191,0.4935496747493744,server-intelsandybridge,3,0.4935537278652191,0.4935496747493744,server-intelskylake,3,0.4935519993305206,0.4935513734817505
True,fmnist,15,46.46517820601616,205,46.46517820601616,6,0.4927820563316345,0.4927720725536346,38,156.1363087754311,server-amdrome,0,0.4927774667739868,0.49277663230896,server-intelbroadwell,6,0.492778867483139,0.4927752315998077,server-intelcascadelake,6,0.4927783906459808,0.492775559425354,server-intelhaswell,6,0.492778867483139,0.4927752315998077,server-intelivybridge,6,0.4927777647972107,0.4927763640880585,server-intelsandybridge,6,0.4927777647972107,0.4927763640880585,server-intelskylake,6,0.4927783906459808,0.492775559425354
True,fmnist,18,51.210176761417856,147,51.210176761417856,2,0.4999644756317138,0.4999570846557617,19,161.0376759513639,server-amdrome,6,0.4999611377716065,0.4999604225158691,server-intelbroadwell,2,0.4999628067016602,0.4999587535858154,server-intelcascadelake,2,0.499962568283081,0.4999589920043945,server-intelhaswell,2,0.4999628067016602,0.4999587535858154,server-intelivybridge,2,0.499962329864502,0.4999592304229736,server-intelsandybridge,2,0.499962329864502,0.4999592304229736,server-intelskylake,2,0.499962568283081,0.4999589920043945
True,fmnist,20,72.42016403368835,117,72.42016403368835,2,0.4928540289402008,0.4928447008132935,24,155.9304003013211,server-amdrome,0,0.4928493201732636,0.4928493201732636,server-intelbroadwell,2,0.4928503036499024,0.4928484261035919,server-intelcascadelake,2,0.4928504824638367,0.4928482472896576,server-intelhaswell,2,0.4928503036499024,0.4928484261035919,server-intelivybridge,2,0.4928526878356934,0.4928459823131561,server-intelsandybridge,2,0.4928526878356934,0.4928459823131561,server-intelskylake,2,0.4928504824638367,0.4928482472896576
False,fmnist,6,45.20051905934979,220,45.20051905934979,0,0.5000044703483582,0.499994695186615,500,155.22496358882591,server-amdrome,0,0.5000013709068298,0.4999977946281433,server-intelbroadwell,0,0.5000004172325134,0.4999987483024597,server-intelcascadelake,2,0.4999997019767761,0.499999463558197,server-intelhaswell,0,0.5000004172325134,0.4999987483024597,server-intelivybridge,0,0.5000002980232239,0.4999988675117493,server-intelsandybridge,0,0.5000002980232239,0.4999988675117493,server-intelskylake,2,0.4999997019767761,0.499999463558197
False,cifar10,6,57.2665389286295,262,57.2665389286295,7,0.4989435374736786,0.4989340305328369,500,156.7470667315641,server-amdrome,7,0.498940110206604,0.4989374876022339,server-intelbroadwell,7,0.4989404380321503,0.4989371001720429,server-intelcascadelake,0,0.4989390373229981,0.4989385604858398,server-intelhaswell,7,0.4989404380321503,0.4989371001720429,server-intelivybridge,7,0.498940110206604,0.4989374876022339,server-intelsandybridge,7,0.498940110206604,0.4989374876022339,server-intelskylake,0,0.4989390373229981,0.4989385604858398
True,fmnist,8,38.70774190067796,311,38.70774190067796,7,0.4968369007110596,0.4968269467353821,53,155.72495254493785,server-amdrome,9,0.4968323111534119,0.4968316555023194,server-intelbroadwell,7,0.4968335926532746,0.4968302249908447,server-intelcascadelake,7,0.4968333542346954,0.4968304634094238,server-intelhaswell,7,0.4968335926532746,0.4968302249908447,server-intelivybridge,7,0.4968331158161163,0.4968308210372925,server-intelsandybridge,7,0.4968331158161163,0.4968308210372925,server-intelskylake,7,0.4968333542346954,0.4968304634094238
True,cifar10,7,58.734032597574384,161,58.734032597574384,8,0.4999716281890869,0.4999668598175049,58,158.09756192502311,server-amdrome,8,0.4999693632125855,0.4999691247940064,server-intelbroadwell,0,0.4999703168869018,0.4999681711196899,server-intelcascadelake,0,0.4999696016311646,0.4999688863754273,server-intelhaswell,0,0.4999703168869018,0.4999681711196899,server-intelivybridge,0,0.4999696016311646,0.4999688863754273,server-intelsandybridge,0,0.4999696016311646,0.4999688863754273,server-intelskylake,0,0.4999696016311646,0.4999688863754273
False,cifar10,43,69.32606053753875,184,69.32606053753875,2,0.4963640570640564,0.4963546991348266,500,149.67543409135482,server-amdrome,2,0.4963623881340027,0.496356338262558,server-intelbroadwell,2,0.4963633418083191,0.4963552951812744,server-intelcascadelake,2,0.4963638186454773,0.4963549375534058,server-intelhaswell,2,0.4963633418083191,0.4963552951812744,server-intelivybridge,2,0.4963627457618714,0.4963558912277222,server-intelsandybridge,2,0.4963627457618714,0.4963558912277222,server-intelskylake,2,0.4963638186454773,0.4963549375534058
