success,model_type,sample_index,total_psnr,local_steps,local_psnr,local_label,local_conf1,local_conf2,remote_steps,remote_psnr,s0_hostname,s0_label,s0_conf1,s0_conf2,s1_hostname,s1_label,s1_conf1,s1_conf2
True,fmnist,22,49.396136156661264,163,49.396136156661264,4,0.5000045895576477,0.4999950528144837,49,156.32840345386523,server-amdrome,6,0.5000002980232239,0.4999993443489074,server-intelsandybridge,4,0.5000002980232239,0.4999993443489074
True,fmnist,42,50.88024433981361,187,50.88024433981361,0,0.4999879002571106,0.49997860193252563,78,152.77930124284597,server-amdrome,6,0.49998337030410767,0.49998313188552856,server-intelsandybridge,0,0.4999857544898987,0.49998074769973755
